place,region,lat,long,image_url,visited_year
"Sydney, NSW",anz,-33.8698439,151.2082848,https://i.imgur.com/wr2h5O7.jpg,"2003, 2007, 2011, 2016, 2017, 2018, 2019"
"Perth, WA",anz,-31.9558964,115.8605801,https://i.imgur.com/6AMSo5l.jpg,NA
"Exmouth, WA",anz,-22.29247155,114.1469586,NA,2006
"Gold Coast, QLD",anz,-28.0023731,153.4145987,NA,2003
"Melbourne, VIC",anz,-37.8142176,144.9631608,https://i.imgur.com/NoWc0lC.jpg,"2013, 2014, 2015, 2019"
"Mount Buller, VIC",anz,-37.2694615,146.4008688,NA,2003
"Brisbane, QLD",anz,-27.4689682,153.0234991,NA,2003
"Canberra, ACT",anz,-35.2975906,149.1012676,https://i.imgur.com/zICtkCe.jpg,"2016, 2017, 2019, 2020"
"Port Douglas, QLD",anz,-16.4845983,145.4636294,NA,2003
"Cairns, QLD",anz,-16.9206657,145.7721854,NA,2003
"Hobart, TAS",anz,-42.8825088,147.3281233,https://i.imgur.com/yTjLm5r.jpg,2020
"Adelaide, SA",anz,-34.9281805,138.5999312,https://i.imgur.com/yWa7zAe.jpg,2009
"Darwin, NT",anz,-12.46044,130.8410469,https://i.imgur.com/kVGwDWj.jpg,2009
"Broome, WA",anz,-17.9566909,122.2240181,https://i.imgur.com/hPibGGh.jpg,"2006, 2020, 2021"
"Kununurra, WA",anz,-15.7730916,128.738839,https://i.imgur.com/7kG29jc.jpg,2006
"Carnarvon, WA",anz,-24.8826131,113.6576486,NA,2006
"Boddington, WA",anz,-32.792141,116.4210582,https://i.imgur.com/IRY6o1y.jpg,NA
"Boyup Brook, WA",anz,-33.884175,116.5197515,NA,2002
"Bunbury, WA",anz,-33.3267797,115.636698,https://i.imgur.com/TE5Nzk6.jpg,"2006, 2012"
"Port Hedland, WA",anz,-20.3718658,118.6316559,NA,2006
"Albany, WA",anz,-35.0247822,117.883608,https://i.imgur.com/ACEizuh.jpg,2020
"Margaret River, WA",anz,-33.9531776,115.0769369,https://i.imgur.com/5iWaQvZ.jpg,"2002, 2003, 2004, 2012, 2019"
"Kalbarri, WA",anz,-27.7109989,114.1638162,NA,2006
"Dalwallinu, WA",anz,-30.1299745,116.9455417,https://i.imgur.com/h3Fco2r.jpg,2016
"Three Springs, WA",anz,-29.4913105,115.6356876,https://i.imgur.com/5uvVQz0.jpg,2014
"Geraldton, WA",anz,-28.77035,114.6147159,NA,2006
"Hamilton Island, QLD",anz,-20.35462625,148.9560518,NA,2003
"Christchurch, NZ",anz,-43.530955,172.6366455,https://i.imgur.com/1owwEMP.jpg,2017
"Akaroa, NZ",anz,-43.82493765,173.0209638,https://i.imgur.com/Vyjr2gr.jpg,2017
"Lake Pukaki, NZ",anz,-44.04776085,170.1742311,https://i.imgur.com/D4OcbzW.jpg,2017
"Queenstown, NZ",anz,-45.0321923,168.661,https://i.imgur.com/Nc1RuDC.jpg,2011
"Suva, Fiji",anz,-18.1415884,178.4421662,https://i.imgur.com/enceNb7.png,2008
"Nadi, Fiji",anz,-17.7992725,177.4178549,https://i.imgur.com/roS5MmB.png,2008
"Paris, France",eur,48.8588897,2.320041022,https://i.imgur.com/D82zSqR.jpg,2009
"Barcelona, Catalunya",eur,41.3828939,2.1774322,https://i.imgur.com/mOD2zcz.jpg,"2015, 2018"
"Madrid, Spain",eur,40.4167047,-3.7035825,https://i.imgur.com/gkzyw5d.jpg,"2015, 2018"
"Berlin, Germany",eur,52.5170365,13.3888599,https://i.imgur.com/nUGaLIy.jpg,2022
"Seville, Spain",eur,37.3886303,-5.9953403,https://i.imgur.com/IpVAOgH.jpg,2015
"Lisbon, Portugal",eur,38.7077507,-9.1365919,https://i.imgur.com/XWFFgmv.jpg,2018
"Sintra, Portugal",eur,38.83554455,-9.352237113,https://i.imgur.com/IVkpP4a.jpg,2018
"Porto, Portugal",eur,41.1494512,-8.6107884,https://i.imgur.com/rhsdbhz.jpg,2018
"Bourg-Saint-Maurice, France",eur,45.6185284,6.7694313,https://i.imgur.com/9OyAVNW.jpg,2009
"Cork, Ireland",eur,51.897077,-8.4654674,https://i.imgur.com/Ydo133K.jpg,2015
"Limerick, Ireland",eur,52.661252,-8.6301239,https://i.imgur.com/28beFST.jpg,2015
"Galway, Ireland",eur,53.2744122,-9.0490601,https://i.imgur.com/0GlfM3K.jpg,2015
"Aarhus, Denmark",eur,56.1496278,10.2134046,https://i.imgur.com/Ha4PMBU.jpg,2018
"Prague, Czechia",eur,50.0874654,14.4212535,https://i.imgur.com/ISxRnIq.jpg,2018
"Milan, Italy",eur,45.4641943,9.1896346,https://i.imgur.com/PWijvt7.jpg,2015
"Catania, Italy",eur,37.5023612,15.0873718,https://i.imgur.com/8hnGEfj.jpg,2022
"Palermo, Italy",eur,38.1112268,13.3524434,https://i.imgur.com/hKnDG9a.jpg,2022
"Syracuse, Italy",eur,37.0646139,15.2907196,https://i.imgur.com/ciFVRve.jpg,2022
"Agrigento, Italy",eur,37.3122991,13.57465,https://i.imgur.com/XMWm9th.jpg,2022
"Ragusa, Italy",eur,36.9219828,14.7213455,https://i.imgur.com/7h070pj.jpg,2022
"Taormina, Italy",eur,37.8517921,15.2856523,https://i.imgur.com/mCmfA4Q.jpg,2022
"Rome, Italy",eur,41.8933203,12.4829321,https://i.imgur.com/IgbjkJs.jpg,"2015, 2022"
"Naples, Italy",eur,40.8358846,14.2487679,https://i.imgur.com/p99T6wb.jpg,"2015, 2022"
"Florence, Italy",eur,43.7698712,11.2555757,https://i.imgur.com/WcS6Q0V.jpg,2015
"Venice, Italy",eur,45.4371908,12.3345898,https://i.imgur.com/dlI8eiK.jpg,2015
"Pisa, Italy",eur,43.7159395,10.4018624,https://i.imgur.com/8BiDaJv.jpg,2015
"Lugano, Switzerland",eur,46.0050102,8.9520281,NA,2015
"Vienna, Austria",eur,48.2083537,16.3725042,https://i.imgur.com/sAdBddr.jpg,2018
"Salzburg, Austria",eur,47.7981346,13.0464806,https://i.imgur.com/TROmeIq.jpg,2018
"Melk, Austria",eur,48.2272068,15.3369992,https://i.imgur.com/wZZschN.jpg,2018
"Bratislava, Slovakia",eur,48.1516988,17.1093063,https://i.imgur.com/XuSSPpS.jpg,2018
"Budapest, Hungary",eur,47.48138955,19.14609413,https://i.imgur.com/R3SwO3N.jpg,2018
"Hallstatt, Austria",eur,47.5621698,13.6486697,https://i.imgur.com/ntNw6Y1.jpg,2018
"Cesky Krumlov, Czechia",eur,48.80511495,14.31619779,https://i.imgur.com/8dW5Ufg.jpg,2018
"Amsterdam, Netherlands",eur,52.3730796,4.8924534,https://i.imgur.com/WqjLuHw.jpg,"2015, 2022, 2023"
"London, UK",eur,51.5073359,-0.12765,https://i.imgur.com/nlIRIfk.jpg,"2015, 2018, 2023"
"Oxford, UK",eur,51.7520131,-1.2578499,https://i.imgur.com/53Iaux7.jpg,2015
"Cambridge, UK",eur,52.2055314,0.1186637,https://i.imgur.com/KNEPZBW.jpg,2015
"Bath, UK",eur,51.3813864,-2.3596963,https://i.imgur.com/t5g8Kn7.jpg,2015
"Bilbao, Basque Country",eur,43.2630018,-2.9350039,https://i.imgur.com/Hyee1jw.jpg,"2015, 2018"
"Cordoba, Spain",eur,37.8845813,-4.7760138,https://i.imgur.com/QStKXQ4.jpg,2015
"Donostia, Basque Country",eur,43.3224219,-1.9838889,https://i.imgur.com/rQRQKRN.jpg,2018
